GEOID,positive,total,zcta_cum_perc_pos,pop_size,housing_total,housing_rental,rent_pct,hhsize_average,hhsize_rented,hhsize_owned,race_total,race_hisp,race_nhBlack,hispanic_pct,nhblack_pct,age65_total,male_65over,female_65over,age65_over_pct,Med_house_income,foodstamp_pct,unemployed_pct,uninsured_pct,case_rate
10012,86,241,35.68,24090,13338,10721,80.37936722147249,1.71,1.65,1.96,13338,865,238,6.485230169440697,1.784375468585995,24090,1351,1523,11.930261519302615,109037,4.517897184619217,2.8649008090435557,6.162030366840297,356.99460356994604
10013,131,301,43.52,27700,12096,8875,73.37136243386243,2.13,2.03,2.43,12096,521,272,4.307208994708995,2.2486772486772484,27700,1513,1876,12.234657039711191,105442,15.584848990488902,2.898550724637681,6.125747535154356,472.9241877256317
10014,186,391,47.57,31959,19790,14459,73.0621526023244,1.59,1.49,1.84,19790,991,324,5.007579585649318,1.637190500252653,31959,1822,2021,12.024781751619262,126601,3.236601020352186,4.485420240137222,4.5325900514579764,581.9956819675209
10016,344,814,42.26,54183,32173,24219,75.27740652099587,1.63,1.61,1.69,32173,2233,1074,6.940602368445591,3.3382028408914306,54183,2616,3557,11.392872303120905,117004,3.956287176649606,3.154326764981155,4.148432954746668,634.8854806858241
10017,74,212,34.91,16575,10763,6854,63.68112979652514,1.52,1.48,1.6,10763,625,264,5.80693115302425,2.452847719037443,16575,1018,1445,14.85972850678733,127506,1.9687026754164565,2.9406522901443592,3.412938870076635,446.4555052790347
10018,116,251,46.22,5229,3065,2630,85.80750407830342,1.65,1.62,1.83,3065,443,167,14.453507340946167,5.448613376835237,5229,174,171,6.597819850831899,108914,5.103042198233562,3.031755542240863,6.962252846015578,2218.3973991202906
10019,264,616,42.86,42870,25905,21284,82.16174483690408,1.63,1.63,1.64,25905,3242,1143,12.514958502219647,4.412275622466706,42870,2509,3367,13.70655470025659,98833,8.809186723297152,3.981586656304179,5.5807975130029295,615.8152554233731
10021,295,771,38.26,43631,24734,14731,59.557693862699125,1.71,1.57,1.91,24734,1134,367,4.584782081345516,1.4837874989892454,43631,3594,5302,20.389172835827736,118289,1.644263082093135,1.7481775072545829,4.855262226626088,676.1247736700969
10022,174,461,37.74,31924,19253,10126,52.59440087259129,1.62,1.53,1.72,19253,917,222,4.7628940944268425,1.1530670544850152,31924,3310,4137,23.32727728354843,135363,0.7701257687406504,2.1178302621334026,2.190500908383078,545.0444806415236
10023,269,695,38.71,60998,34383,21572,62.74030771020562,1.72,1.64,1.85,34383,2361,1297,6.866765552744089,3.7722130122444226,60998,4454,6258,17.561231515787405,130452,3.656545870062031,3.7379868487607486,3.60900354071826,440.99806551034465
